"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"TFOE Regulon of Rv0195",26,0.08837,"1.00e+00",0.04209,"1.00e+00",-0.04628,"1.00e+00"
"TFOE Regulon of Rv2887",154,0.07211,"1.35e-09",0.0282,"1.99e-04",-0.04391,"1.35e-09"
"TFOE Regulon of Rv1773c",8,0.08397,"1.00e+00",0.04016,"1.00e+00",-0.0438,"1.00e+00"
"TFOE Regulon of Rv1033c (trcR)",52,0.07428,"4.50e-02",0.03546,"2.21e-01",-0.03882,"4.50e-02"
"TFOE Regulon of Rv0081",356,0.06904,"9.78e-21",0.02946,"2.12e-10",-0.03957,"9.78e-21"
"TFOE Regulon of Rv2986c (hupB)",7,0.08006,"5.60e-01",0.04439,"1.00e+00",-0.03567,"5.60e-01"
"TFOE Regulon of Rv3291c (lrpA)",8,0.0821,"1.00e+00",0.02751,"1.00e+00",-0.05459,"1.00e+00"
"TFOE Regulon of Rv2009 (vapB15)",5,0.08192,"1.00e+00",0.03388,"1.00e+00",-0.04804,"1.00e+00"
"TFOE Regulon of Rv3260c (whiB2)",108,0.07145,"6.05e-03",0.02409,"1.00e+00",-0.04736,"6.05e-03"
"TFOE Regulon of Rv0078",75,0.07074,"3.33e-03",0.02332,"1.00e+00",-0.04742,"3.33e-03"
"TFOE Regulon of Rv2175c",32,0.07576,"3.31e-01",0.01884,"1.00e+00",-0.05692,"3.31e-01"
"TFOE Regulon of Rv3167c",22,0.07683,"4.91e-01",0.01233,"1.00e+00",-0.0645,"4.91e-01"
"TFOE Regulon of Rv1719",4,0.07253,"2.34e-01",0.03492,"2.34e-01",-0.0376,"6.19e-01"
"TFOE Regulon of Rv3286c (sigF)",289,0.06661,"1.96e-16",0.02081,"5.92e-02",-0.0458,"1.96e-16"
