"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"sigB",65,0.01257,"1.00e+00",0.0044,"1.00e+00",-0.00817,"1.00e+00"
"Rv0275c",12,0.01242,"1.00e+00",-0.00866,"1.00e+00",-0.03349,"1.00e+00"
"Rv1473A",330,0.0117,"1.00e+00",0.0023,"1.00e+00",-0.0094,"1.00e+00"
"whiA",438,0.0108,"1.00e+00",0.00277,"1.00e+00",-0.00803,"1.00e+00"
"whiB7",9,0.00797,"1.00e+00",-0.0055,"1.00e+00",-0.02144,"1.00e+00"
"zur",21,0.00691,"1.00e+00",-0.02593,"1.00e+00",-0.03975,"1.00e+00"
"crp",7,0.00675,"1.00e+00",0.00134,"1.00e+00",-0.00541,"1.00e+00"
"Rv2242",2,0.00674,"1.00e+00",0.04261,"1.00e+00",0.02912,"1.00e+00"
"vapB11",2,0.00674,"1.00e+00",0.04261,"1.00e+00",0.02912,"1.00e+00"
"Rv2720",24,0.00655,"1.00e+00",0.00014,"1.00e+00",-0.00641,"1.00e+00"
"Rv1395",11,0.0051,"1.00e+00",0.00286,"1.00e+00",-0.00224,"1.00e+00"
"Rv2912c",6,0.00503,"1.00e+00",-0.0105,"1.00e+00",-0.00043,"1.00e+00"
"Copper Induced",24,0.00435,"1.00e+00",-0.00017,"1.00e+00",-0.00887,"1.00e+00"
"nadR",8,0.0032,"1.00e+00",-0.00097,"1.00e+00",0.00223,"1.00e+00"
"ccdA",14,0.00235,"1.00e+00",0.00146,"1.00e+00",0.00615,"1.00e+00"
"cmr",17,0.00174,"1.00e+00",-0.00426,"1.00e+00",-0.00773,"1.00e+00"
"vapB15",52,0.00141,"1.00e+00",0.00388,"1.00e+00",0.00105,"1.00e+00"
"Rv3066",64,0.00094,"1.00e+00",-0.00926,"1.00e+00",-0.00738,"1.00e+00"
